site,date,year,agency,Latitude,Longitude,Wet or dry in 2016,Burned (B) vs. unburned (U),trout.present..absent,Max.depth.m,Bankfull.width.m,Pool.riffle.ratio,Average.wetted.width.m,Average.Wetted.Width.SE.m,Average.stream.depth.m,Average.stream.depth.SE.m,Average.sediment.depth.m,Average.sediment.depth.SE.m,Average.current.velocity.m.s,Average.current.velocity.SE.m.s,Q estimate (m3/s),Average.canopy.cover,Average.canopy.cover.SE,Average.substr.size.Wentworth.scale,Average.substr.size.Wentworth.scale.SE,Conductivity.uS.cm.,Conductivity.uS.cm.SE,Specific.conductance.uS.cm,Specific.conductance.uS.cm.SE,pH,pH.SE,Point.DO.average.HOBO,Point.DO.mg.L.SE,Point.Maximum.DO.mg.L,Point.Minimum.DO.mg.L,Point.Avg.temp.C.multimeter,Point.temp.C.SE,Point.Max.temp.C,Point.Min.Temp.C,Average.Nitrate.ug.L.,Average.Nitrite.ug.L,Average.Ammonium.ug.L,Average.SRP.ug.L,CPOM.leaves.Organic.g.m2.dry.wt.or.AFDM,FPOM.g.m2.dry.wt.or.AFDM,Average.chlorophyll.a.mg.m2.,Chlorophyll.a.SE..mg.m2,Average.AFDM..mg.cm2,AFDM.SE...mg.cm2,Average.Benthic.inorganic.sediment..mg.cm2,Benthic.inorganic.sediment.SE...mg.cm2,propcan,Long.term.Avg.dissolved.oxygen..mg.L...HOBO,Long.term.HOBO.Avg.dissolved.oxygen..mg.L..SE,Long.term.Max.dissolved.oxygen..mg.L,Long.term.Min.dissolved.oxygen..mg.L.,Long.term.Avg.Temp...C.,Long.term.HOBO.Avg.Temp....C..SE,Long.term.HOBO.Max.Temp....C.,Long.term.HOBO.Min.Temp...C.,HOBO.Start.Time.DO..Date..Hour.,HOBO.End.Time.DO..Date..Hour.,HOBO.Total.Time.DO..Days.,HOBO.Start.Time.Temp..Date..Hour.,HOBO.End.Time.Temp..Date..Hour.,HOBO.Total.Time.Temp..Days.,stream.to.bankfull.width,Stream,Length.m,sum.MeanWidth..m,sum.MeanDepth,MeanWidth.m,MeanDepth.m,MaxDepth.m,ShelterValue,PctCover,PctOpen,PctUnderCtBnk,Boulder,SWD,LWD,Root,TerrVeg,AqVeg,Bubble,Bedrock,A..0...1.99.inch.trout.,B..2.3.99.inch.trout.,C..4.5.99.inch.trout.,D..6.7.99.inch.trout.,E..8.9.99.inch.trout.,F..10.11.99.inch.trout.,G..12.13.99.inch.trout.,H..14.15.99.inch.trout.,total.trout,trout.present..absent,md.comments,Sitetime,pool,mixed,riffle,Basin,BurnUn,BConDow,Fire,UpDown,Season,Year,SeaYR,Wet.or.dry.in.2016,WDCBD,disturb,Vel,,Total inverts,Baetidae,Baetis,Callibaetis,Paraleptophlebia,Baetidae+Leptophlebiidae,Chironomid,Mayflies+chironomids,Biotic index,Thermal index,Slope 16-17,elevation 16-17 (m),Catchment area (m2),Sitetime,Wet or dry in 2016,Burned (B) vs. unburned (U),"Within fire footprint (B), downstream of fire footprint (D), outside of fire C, burned debris flow (DBF)",Time since last fire,Extent of last fire (% basin burned),Name of last fire,Distance from Survey Point upstream to Fire Permeter (m){Measurement taken following stream corridor upstream until fire perimeter hit},Distance from Catchment Boundary from Closest Fire Scar Boundary (m) {birds flight}, % basin in fire footrpint last 10 yrs,% of riparian burned M-H severity,Study site  ,% wi footprint, % basin burned at M-H severity,% riparian burned at M-H severity,% upland burned at M-H severity,"% basin burned L, M, H","% of rip burned L,M, H","prop Up burned L, M, H"
Alder Creek_2016,7/5/16,2016,UCSB,34.4836,-119.49637,W,U,P,0.75,12,1.86,2.43,0.27,0.08,0.02,0.04,0.01,0.04,0.01,0.007776,92.3,2.15,-8.3,0.33,722,9.5,843.5,1.5,7.75,0.19,7.75,1.3,9.04,6.45,17.4,0.7,18.1,16.7,22.1,1.1,15.5,4.1,5.76,NA,15,2.74,1.56,0.456,2.099,0.78,0.923,7.87,0.043,8.49,6.58,17.23,0.05,17.88,16.54,7/5/16 12:00,7/5/16 16:00,0.2,,,NA,0.2025,Alder Creek,23.77,8.68,1.18,2.17,0.295,0.7,2,23.75,76.25,12.5,60,23.75,0,0,0,1.25,2.5,0,0,0,0,0,1,1,0,0,2,P,,Ald0716,2.71,2.77,2.58,2,1,1,1,1,2,2016,22016,W,W1,WU,0.04,Ald0716,1486.02,48.4,0,10.8,75.3,123.7,534.41,658.1,5.78288712,18.51479904,1.7,699,5980900,Ald0716,W,U,C,52,29.97,Coyote ,,5366,0,0,Alder Creek,0,0,0,0,0,0,0
Fox Creek_2016,7/11/16,2016,UCSB,34.48383,-119.52851,W,U,A,0.6,8.4,1.5,2.36,0.26,0.16,0.04,0.07,0.01,0.03,0.01,0.011328,95.9,0.85,-5.9,0.5,510,4,589,1,7.79,0.1,7.37,0.44,7.81,6.93,17.9,0.4,18.3,17.5,3,0.4,9.8,7.2,17.61,NA,12.6,3.56,7.204,2.736,6.416,2.07,0.959,7.43,0.065,7.92,6.79,24.19,0.266,25.2,20.08,7/5/16 16:05,7/5/16 18:15,0.1,,,NA,0.281385281,Fox Creek,16.15,7.16,1.07,2.386666667,0.356666667,0.73,2,51.66666667,48.33333333,23.33333333,20,31.66666667,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,A,,Fox0716,2.31,2.14,1.71,2,1,1,1,1,2,2016,22016,W,W1,WU,0.03,Fox0716,396.38,0,0,0,4,4,181.33,185.4,4.697229663,18.96425154,6.3,572,2401800,Fox0716,W,U,C,52,75.4,Coyote ,,5260,0,0,Fox Creek,0,0,0,0,0,0,0
Lion Creek_2016,6/22/16,2016,UCSB,34.54375,-119.16379,W,U,P,0.8,16.5,2,4.12,0.44,0.15,0.04,0.05,0.01,0.03,0.01,0.01854,88.1,1.35,-5.97,0.23,494,4.8,613,5.1,7.32,0,6.31,0.91,7.22,5.4,14.9,0.1,15,14.8,8.8,0.8,8.7,6.9,4.53,NA,10.2,1.43,2.637,0.99,6.224,3.9,0.881,6.5,0.079,7.85,5.67,21.91,0.73,30.38,15.6,6/29/16 10:25,6/29/16 15:45,0.2,,,NA,0.24969697,Lion Creek,41.76,20.13,1.34,5.0325,0.335,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,29,15,1,1,0,0,0,56,P,"used snorkel data from Aug for reach level, and used snorkel data from June for SWAMP level information",Lio0616,3.15,3.44,3.01,3,1,1,1,1,2,2016,22016,W,W1,WU,0.03,Lio0616,5204.3,129,32.3,0,172,301.1,913.98,1215.1,6.070247934,18.231,1.1,959,27125500,Lio0616,W,U,C,84,100,Matilija,,26280,0,0,Lion Creek,0,0,0,0,0,0,0
Manzana Narrows_2016,10/6/16,2016,BT,34.73718,-119.87086,W,B,P,0.4,6.4,1.67,2.31,0.4,0.13,0.02,0.01,0,0.02,0.01,0.006006,83.87,1.43,-9.43,0.23,902.5,22.5,n/a,n/a,8.2,0.12,6.24,0.02,6.43,5.7,17.7,0.77,20.2,14.9,2.67,2.02,10.14,6.11,224.7,8.29,23.39,10.49,1.48,0.43,6.74,2.45,0.838680927,5.23,0.02,6.78,3.63,18.37,0.02,24.68,13.55,"8/3/2016,10/6/2016","8/11/2016,10/6/16",10,6/24/16,10/6/16,106,0.362922791,Manzana Narrows,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,P,"no snorkel survey data from 2016, O. mykiss present but can't determine how many fish within SWAMP reach based on BT report Table 31",MNa1016,2.52,2.42,1.83,1,2,2,2,1,3,2016,32016,W,W2,WB,0.02,MNa1016,660.18,0,0,0,2.7,2.7,72.66,75.3,4.968036742,19.27011311,3.97,822,20438300,MNa1016,W,B,B,9,81.7,Zaca,0,0,82,35,Manzana Narrows,81.7,53.4,34.9,54.4,68.1,60.9,68.5
Reyes Creek_2016,8/4/16,2016,UCSB,34.6789,-119.30264,W,U,P,0.49,10,1.67,2.51,0.33,0.08,0.02,0.05,0.02,0.03,0.01,0.006024,89.3,1.99,-8.33,0.52,585,7.5,659,2,8.29,0.03,6.93,0.21,7.13,6.72,19.15,0.75,19.9,18.4,3.8,1.3,11.2,17.1,117.78,NA,12.4,4.48,5.135,2.231,38.116,17.37,0.893,7.24,0.031,7.97,6.18,17.21,0.12,20.42,13.92,8/4/16 12:45,8/5/16 14:25,1.1,,,NA,0.250909091,Reyes Creek,19.82,8.84,0.72,2.946666667,0.24,0.49,2,20,80,60,20,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,P,,Rey0816,2.87,2.25,2.38,5,1,1,1,1,2,2016,22016,W,W1,WU,0.03,Rey0816,1156.02,0,0,0,5.4,5.4,290.43,295.8,4.995209748,17.7852393,,1223,12477100,Rey0816,W,U,C,84,8.96,Matilija,,4931,0,0,Reyes Creek,0,0,0,0,0,0,0
Sisquoc - Heath_2016,9/14/16,2016,BT,34.73491,-119.680645,W,B,P,0.6,4.8,1.67,2.63,0.26,0.11,0.02,0.11,0.02,0.02,0.01,0.005786,88.5,1.3,-1.62,0.39,892.5,22.5,n/a,n/a,7.84,0.44,6.14,0.01,6.95,5.16,12,0.05,14,10.7,2.07,1.33,6.81,9.22,4.35,1.48,11.02,2.53,7.11,1.75,41.45,10.25,0.885026738,6.14,0.01,6.95,5.16,13.1,0.03,17.82,7.54,9/6/16,9/19/16,14,7/18/16,10/26/16,102,0.554066986,Sisquoc - Heath,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,"no snorkel survey data from 2016, But BT report indicatd trout present, but can't assign fish numbers to SWAMP reach",SHea0916,2.89,2.52,2.32,1,2,2,2,1,3,2016,32016,W,W2,WB,0.02,SHea0916,1329.52,36.1,0,11.3,73.2,109.3,484.01,593.3,4.359971225,17.20064914,2.28,1023,30279100,SHea0916,W,B,B,9,100,Zaca,0,0,100,53,Sisquoc - Heath,100,60.2,53.4,60.8,79.2,75.2,79.5
Sisquoc - Lower Bear_2016,9/21/16,2016,BT,34.717032,-119.64656,W,B,P,0.5,2.9,0.6,1.5,0.35,0.07,0.01,0.13,0.02,0.04,0.01,0.0042,84.94,1.6,-0.7,0.51,501.5,2.5,n/a,n/a,8.41,0.01,6.72,0.07,8.6,2.13,13.1,0.45,14.8,11.2,48.18,1.49,7.13,9.3,12.38,6.26,28.67,11.66,12.94,5.02,40.74,14.33,0.849376114,6.72,0.07,8.6,2.13,14.04,0.03,19.29,8.69,9/20/16,9/28/16,9,7/21/16,9/28/16,70,0.521464646,Sisquoc - Lower Bear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,"no snorkel survey data from 2016, But BT report indicatd trout present, but can't assign fish numbers to SWAMP reach",SLBe0916,3.4,2.52,3.02,1,2,2,2,1,3,2016,32016,W,W2,WB,0.04,SLBe0916,3879.31,102.8,0,0,12.9,115.7,503.85,619.5,5.802486898,17.23775087,8.11,1334,4983000,SLBe0916,W,B,B,9,100,Zaca,0,0,100,19,Sisquoc - Lower Bear,100,28.5,18.9,29,54.4,40.6,55.1
South Fork Sisquoc_2016,10/25/16,2016,BT,34.750922,-119.778498,W,B,P,1.3,6.1,1,3.55,0.57,0.26,0.05,0.04,0.01,0.12,0.04,0.11076,84.4,2.25,-6.93,0.33,622,23,n/a,n/a,8.59,0.07,8.26,0.01,8.34,8.14,16.7,0.05,18.1,11.6,1.85,1.41,6.19,5.87,129.17,4.63,15.07,6.57,1.65,0.71,7.2,4.11,0.84402852,5.28,0.02,8.34,3.17,16,0.02,19.29,12.12,"8/16/2016,10/25/16","8/22/2016, 10/25/16",8,7/20/16,10/25/16,99,0.578377577,South Fork Sisquoc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,"no snorkel survey data from 2016, But BT report indicatd trout present, but can't assign fish numbers to SWAMP reach",SFS1016,2.3,2.54,1.94,1,2,2,2,1,2,2016,22016,W,W2,WB,0.12,SFS0816,629.92,1.3,0,0,20.2,21.5,122.44,144,4.895746362,17.45752108,6.54,820,13931900,SFS1016,W,B,B,9,100,Zaca,0,0,100,41,South Fork Sisquoc,100,66.7,40.8,68.2,77,61.5,77.9
Abel_2017,8/15/17,2017,BT,34.832413,-119.862516,D,U,A,0.5,1.5,0.33,0.92,0.12,0.08,0.01,0.01,0,0.3,0.07,0.02208,69.7,2.91,-3.75,0.41,1439,5,n/a,n/a,8.68,0,n/a,n/a,n/a,n/a,17.9,0.99,26.3,14.5,BMDL,0.56,2.94,2.17,1.75,0.64,6.91,1.63,1.04,0.35,10.44,3.94,0.696969697,NA,NA,NA,NA,16.45,0.02,27.38,9.61,,,NA,8/8/17,11/8/17,93,0.600713012,Abel,8.8392,4.45008,0.80772,1.11252,0.20193,0.548613228,NA,43.75,56.25,NA,42.5,23.75,0,8.75,11.25,8.75,3.75,0,0,0,0,0,0,0,0,0,0,A,,Abe0817,2.27,2.71,3.26,1,1,1,1,1,2,2017,22017,D,D1,DU,0.3,Abe0817,2498.75,617.6,217.8,0,0,617.6,229.67,847.3,5.191735462,20.03748022,3.45,574,35924500,Abe0817,D,U,C,51,100,Wellman,,4759,0,0,Abel,0,0,0,0,0,0,0
Agua Caliente Creek_2017,7/13/17,2017,UCSB,34.5418,-119.5654,D,B,A,0.25,15.5,3,2.67,0.35,0.11,0.02,0.03,0.01,0.01,0.002,0.002937,44.21,6.64,-5.47,0.25,2324,158.5,2385,46,7.54,0.15,7.69,0.21,7.9,7.48,23.55,2.45,26,21.1,16.1,NA,0,0.34,4.407,NA,4.31,1.85,1.569,0.738,3.019,0.667,0.4421,NA,NA,NA,NA,23.2,0.06,33.7,13.6,7/13/17 11:30,8/28/17 0:00,46,,,NA,0.172258065,Agua Caliente Creek,4,4,0.3,4,0.3,0.51,1,5,95,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,A,,Agu0717,2.8,2.88,1.96,2,2,3,2,3,2,2017,22017,D,D3,Down,0.01,Agu0717,1475.81,427.4,0,427.4,0,427.4,252.69,680.1,7.795992714,20.46630435,2.9,730,74086900,Agu0717,D,B,D,10,93.5,Zaca,2267,0,94,71,Agua Caliente Creek,94,72,71,72.1,86.2,87.7,86.1
Camuesa Creek_2017,6/29/17,2017,UCSB,34.5669,-119.713,D,B,A,0.42,11,0.6,1.07,0.15,0.05,0.01,0.06,0.03,0.03,0,0.001605,12.5,3.78,-4.94,0.21,1103,12,994,19.5,8.38,0.07,9.26,0.555,9.81,8.7,30.8,0.5,31.3,30.3,11.6,NA,0,36.89,0.193,NA,5.99,2.03,0.649,0.16,3.443,1.15,0.125,5.16,0.366,8.32,0,23.1,0.09,35.2,12.6,6/29/17 14:00,8/7/17 0:00,38,,,NA,0.097272727,Camuesa Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,A,Not snorkeled…dry based on USFS report,Cam0617,2.44,1.27,0.43,2,2,2,3,1,2,2017,22017,D,D2,Rey,0.03,Cam0617,298.39,237.9,0,237.9,0,237.9,34.95,272.8,8.405405405,20.17333333,1.7,658,2905900,Cam0617,D,B,B,1,100,Rey,0,0,100,99,Camuesa Creek,100,95.7,99,95.6,99.1,100,99.1
Coche_2017,10/4/17,2017,BT,34.678763,-119.736066,D,B,A,0.5,2,1,1,0.19,0.11,0.01,0.01,0.01,0.2,0.04,0.022,95.1,0.65,-6.33,0.23,687.5,1.5,n/a,n/a,8.71,0.02,n/a,n/a,n/a,n/a,14.06,0.39,15.4,12.3,1.4,0.84,10.5,2.48,2.46,1.18,0.66,0.19,0.14,0.05,0.41,0.24,0.950980392,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,,NA,0.49886929,Coche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,A,unable to locate site in PSMFC data,Coc1017,2.11,2.15,3.43,2,2,2,2,1,3,2017,32017,D,D2,DB,0.2,Coc1017,2966.41,62.4,31.2,0,26.7,89.1,307.33,396.4,2.247797105,16.44039732,5.44,954,4747900,Coc1017,D,B,B,10,100,Zaca,0,0,100,69,Coche,100,79.2,69.4,79.9,89.1,91.8,88.9
Davy Brown_2017,6/14/17,2017,BT,34.760014,-119.953721,D,U,A,0.5,4.5,0.6,3.05,0.57,0.15,0.02,0.03,0.01,0.17,0.03,0.077775,58.73,3.26,-4.07,0.34,1018,1,n/a,n/a,8.52,0.03,8.51,0.01,10.21,6.92,21.5,0.22,22.1,20.8,0.49,3.5,6.16,5.43,8.1,1.24,12.79,2.29,4.21,1.09,19.07,5.2,0.587344029,8.52,0.01,10.21,6.92,17.32,0.03,27.75,7.62,6/7/17,6/23/17,18,6/6/17,12/1/17,179,0.684371808,Davy Brown,48.1584,13.4112,1.6764,2.68224,0.33528,0.640048766,NA,40,60,NA,25,13,2,0,10,38,8,4,0,0,0,0,0,0,0,0,0,A,"No trout observed in 100 m reach but many trout observed in larger sampling reach but there are overlapping sites within the reach (i.e., Fir Canyon and Davy Brown). Confirmed using BT report that no O. mykiss observed in SWAMP reach.",DBr0617,3.17,2.78,3.29,1,1,1,1,1,2,2017,22017,D,D1,DU,0.17,DBr0617,4011.07,180.5,46.8,0,6.5,187,1834.42,2021.4,5.590480984,17.68161915,2.5,606,11769900,DBr0617,D,U,C,24,86.9,Marre,,1,0,0,Davy Brown,0,0,0,0,0,0,0
Fir Canyon_2017,8/3/17,2017,BT,34.7682,-119.946621,D,U,A,0.4,3.5,3,2.03,0.29,0.1,0.01,0.06,0.01,0.11,0.03,0.02233,27.27,3.63,-5.08,0.46,1097.5,0.5,n/a,n/a,8.52,0,7.85,0.09,10.55,4.74,21.6,0.95,28.1,20,2.59,0.98,7.21,4.13,4.98,0.92,21.89,3.83,5.8,1.93,16.42,2.8,0.272727273,7.85,0.09,10.55,4.74,21.19,0.05,31.84,10.81,8/2/17,8/3/17,2,8/2/17,9/29/17,59,0.586764899,Fir Canyon,17.3736,6.5532,0.79248,2.1844,0.26416,0.45717769,NA,31.66666667,68.33333333,NA,10,0,0,0,6.666666667,70,13.33333333,0,0,0,0,0,0,0,0,0,0,A,"No trout observed in 100 m reach but many trout observed in larger sampling reach but there are overlapping sites within the reach (i.e., Fir Canyon and Davy Brown)",Fir0817,3.53,2.93,3.14,1,1,1,1,1,2,2017,22017,D,D1,DU,0.11,Fir0817,5590.33,1839.1,49.4,1574.1,0,1839.1,1573.35,3412.5,6.400431937,20.15000538,2.48,563,22689300,Fir0817,D,U,C,24,77.33,Marre,,1,0,0,Fir Canyon,0,0,0,0,0,0,0
Horse_2017,7/26/17,2017,BT,34.840102,-120.016157,D,B,A,0.3,3.7,0.33,1.9,0.18,0.08,0.01,0,0,0.21,0.03,0.03192,21.12,3.75,-5.68,0.12,1454.5,2.5,n/a,n/a,8.88,0.1,8.26,0.01,9.55,7.13,25.69,1.16,31.1,19.5,57.19,1.61,7.14,2.17,1.02,0.23,7.73,2.74,1.94,0.61,6.46,2.14,0.211229947,8.26,0.01,9.55,7.13,NA,NA,NA,NA,7/19/17,7/26/17,8,,,NA,0.520921544,Horse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,A,unable to locate site in PSMFC data,Hor0717,2.61,2.04,2.88,1,2,2,5,1,2,2017,22017,D,D2,DB,0.21,Hor0717,1274,431.3,196.7,53.9,0,431.3,429.27,860.6,5.919311478,20.0578803,1.41,344,64546400,Hor0717,D,B,B,8,100,La Brea,0,0,100,88,Horse,100,86.7,87.5,92.3,94.1,95.5,100
Indian Creek_2017,7/6/17,2017,UCSB,34.5465,-119.642,D,B,A,0.4,17.5,3,2.01,0.23,0.08,0.01,0.2,0.03,0.03,0,0.004824,8.56,2.84,-2.62,0.22,1431,18.5,1297,3.5,8.1,0.18,9.94,3.305,13.24,6.63,30.4,0.9,31.3,29.5,10.3,NA,1.96,17.67,0.042,NA,21.26,3.88,2.81,0.464,4.909,0.807,0.0856,7.97,0.225,11.12,5.69,22.7,0.06,33.8,12.2,7/6/17 13:00,9/4/17 0:00,59,,,NA,0.114857143,Indian Creek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,A,Not snorkeled… USFS report indicated it was to shallow to snorkel - assume Absent??,Ind0717,3.47,2.85,2.31,2,2,3,4,3,2,2017,22017,D,D3,Down,0.03,Ind0717,3881.56,1666.7,0,1602.2,0,1666.7,1983.71,3650.4,7.361275399,20.85008311,1.1,475,11658500,Ind0717,D,B,D,10,98.7,Zaca/Rey,941.5,0,99,1,Indian Creek Lower,"78.9, 29.4",90.5,88.2,90.7,94.6,95,94.6
