site,date,year,agency,latitude,longitude,wet_or_dry_in_2016_1,burned_b_vs_unburned_u,trout_present_absent,max_depth_m,q_estimate_m3_s,average_canopy_cover,conductivity_u_s_cm,point_minimum_do_mg_l,average_chlorophyll_a_mg_m2,pct_cover,a_0_1_99_inch_trout,b_2_3_99_inch_trout,c_4_5_99_inch_trout,d_6_7_99_inch_trout,e_8_9_99_inch_trout,f_10_11_99_inch_trout,g_12_13_99_inch_trout,h_14_15_99_inch_trout,total_trout,total_inverts,thermal_index
Alder Creek_2016,7/5/16,2016,UCSB,34.4836,-119.49637,W,U,P,0.75,0.007776,92.3,722,6.45,15,23.75,0,0,0,0,1,1,0,0,2,1486.02,18.51479904
Fox Creek_2016,7/11/16,2016,UCSB,34.48383,-119.52851,W,U,A,0.6,0.011328,95.9,510,6.93,12.6,51.66666667,0,0,0,0,0,0,0,0,0,396.38,18.96425154
Lion Creek_2016,6/22/16,2016,UCSB,34.54375,-119.16379,W,U,P,0.8,0.01854,88.1,494,5.4,10.2,NA,10,29,15,1,1,0,0,0,56,5204.3,18.231
Manzana Narrows_2016,10/6/16,2016,BT,34.73718,-119.87086,W,B,P,0.4,0.006006,83.87,902.5,5.7,23.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,660.18,19.27011311
Reyes Creek_2016,8/4/16,2016,UCSB,34.6789,-119.30264,W,U,P,0.49,0.006024,89.3,585,6.72,12.4,20,0,3,0,0,0,0,0,0,3,1156.02,17.7852393
Sisquoc - Heath_2016,9/14/16,2016,BT,34.73491,-119.680645,W,B,P,0.6,0.005786,88.5,892.5,5.16,11.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1329.52,17.20064914
Sisquoc - Lower Bear_2016,9/21/16,2016,BT,34.717032,-119.64656,W,B,P,0.5,0.0042,84.94,501.5,2.13,28.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3879.31,17.23775087
South Fork Sisquoc_2016,10/25/16,2016,BT,34.750922,-119.778498,W,B,P,1.3,0.11076,84.4,622,8.14,15.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629.92,17.45752108
Abel_2017,8/15/17,2017,BT,34.832413,-119.862516,D,U,A,0.5,0.02208,69.7,1439,NA,6.91,43.75,0,0,0,0,0,0,0,0,0,2498.75,20.03748022
Agua Caliente Creek_2017,7/13/17,2017,UCSB,34.5418,-119.5654,D,B,A,0.25,0.002937,44.21,2324,7.48,4.31,5,0,0,0,0,0,0,0,0,0,1475.81,20.46630435
Camuesa Creek_2017,6/29/17,2017,UCSB,34.5669,-119.713,D,B,A,0.42,0.001605,12.5,1103,8.7,5.99,NA,0,0,0,0,0,0,0,0,0,298.39,20.17333333
Coche_2017,10/4/17,2017,BT,34.678763,-119.736066,D,B,A,0.5,0.022,95.1,687.5,NA,0.66,NA,0,0,0,0,0,0,0,0,0,2966.41,16.44039732
Davy Brown_2017,6/14/17,2017,BT,34.760014,-119.953721,D,U,A,0.5,0.077775,58.73,1018,6.92,12.79,40,0,0,0,0,0,0,0,0,0,4011.07,17.68161915
Fir Canyon_2017,8/3/17,2017,BT,34.7682,-119.946621,D,U,A,0.4,0.02233,27.27,1097.5,4.74,21.89,31.66666667,0,0,0,0,0,0,0,0,0,5590.33,20.15000538
Horse_2017,7/26/17,2017,BT,34.840102,-120.016157,D,B,A,0.3,0.03192,21.12,1454.5,7.13,7.73,NA,0,0,0,0,0,0,0,0,0,1274,20.0578803
Indian Creek_2017,7/6/17,2017,UCSB,34.5465,-119.642,D,B,A,0.4,0.004824,8.56,1431,6.63,21.26,NA,0,0,0,0,0,0,0,0,0,3881.56,20.85008311
Manzana - Nira_2017,6/29/17,2017,BT,34.771166,-119.939524,D,B,A,0.6,0.34408,65.69,840,2.93,10.85,35,0,0,0,0,0,0,0,0,0,2108.77,18.09470657
Manzana - Potrero_2017,7/5/17,2017,BT,34.772681,-119.945349,D,B,A,0.6,0.073788,24.17,873,0,9.67,28.75,0,0,0,0,0,0,0,0,0,15806.96,20.26473536
Mono Creek_2017,7/5/17,2017,UCSB,34.5417,-119.6251,D,B,A,0.53,0.02499,33.42,1795,5.57,10.22,NA,0,0,0,0,0,0,0,0,0,1178.31,20.99635813
Munch_2017,6/1/17,2017,BT,34.757563,-119.953764,D,U,A,0.5,0.057057,69.43,968,7.71,12.28,34,0,0,0,0,0,0,0,0,0,6597.93,16.69175029
Rancho Nuevo Creek_2017,7/10/17,2017,UCSB,34.6892,-119.4114,D,B,A,0.31,0.000183,12.48,3931,5.27,9.65,NA,0,0,0,0,0,0,0,0,0,6053.76,20.81043478
Santa Barbara Creek_2017,6/26/17,2017,UCSB,34.7635,-119.5709,D,B,A,0.13,0.03366,12.3,2186,10.8,41.5,NA,0,0,0,0,0,0,0,0,0,3129.41,18.41254595
Tule Creek_2017,8/24/17,2017,UCSB,34.5608,-119.2761,D,U,P,0.45,0.00314,36.63,700,4.2,20.66,45.83333333,0,0,2,0,0,0,0,0,2,822.13,20.16683806
Alder Creek_2017,7/17/17,2017,UCSB,34.4831,-119.4954,W,U,P,0.46,0.01218,93.85,675,7.81,3.3,32.5,2,7,6,3,0,0,0,0,18,5504.52,17.76215599
Bear Creek_2017,8/23/17,2017,UCSB,34.5295,-119.8652,W,U,A,0.89,0.00646,95.45,917,4.45,1.94,19.5,0,0,0,0,0,0,0,0,0,3105.65,19.43978311
Cachuma Creek_2017,7/25/17,2017,UCSB,34.6956,-119.9105,W,U,A,0.53,0.002996,91.09,1487,5.93,6.33,8.5,0,0,0,0,0,0,0,0,0,10666.67,19.41649215
Fox Creek_2017,7/18/17,2017,UCSB,34.4837,-119.528,W,U,P,0.64,0.029304,93.58,464,8.02,4.66,32.72222222,45,35,9,1,3,0,0,0,93,2644.68,18.14103022
Indian_2017,9/14/17,2017,BT,34.659859,-119.640347,W,B,A,0.9,0.0567,52.05,919.5,0.44,17.53,NA,0,0,0,0,0,0,0,0,0,14887.35,20.15546889
Lion Canyon Creek_2017,8/10/17,2017,UCSB,34.7056,-119.922,W,U,A,0.73,0.009728,91.53,1108,7.02,4.18,27.5,0,0,0,0,0,0,0,0,0,2095.7,18.4683362
Lion Creek_2017,4/28/17,2017,UCSB,34.5424,-119.163,W,U,P,1,0.33936,91.08,423.4,6.79,2,45.83333333,49,19,7,1,1,0,0,0,77,831.54,16.77365439
Manzana Narrows_2017,5/18/17,2017,BT,34.737254,-119.870379,W,B,P,1.3,0.289256,81.91,522,8.34,35.02,32.5,0,36,0,9,3,2,0,0,50,1749.27,16.87147725
Matilija Creek_2017,7/25/17,2017,UCSB,34.5315,-119.4026,W,U,P,0.38,0.069696,66.58,1050,7.31,2.92,16,0,0,0,2,0,0,0,0,2,5189.78,19.65058726
Sisquoc - Cottonwood_2017,8/23/17,2017,BT,34.744117,-119.693049,W,B,P,0.8,0.091224,88.95,1189,6.29,3.51,22.72727273,0,0,0,1,0,0,0,0,1,5415.66,18.70728755
Sisquoc - Heath_2017,5/10/17,2017,BT,34.734972,-119.680683,W,B,P,1,0.010738,88.77,658,8.26,6.55,34,3,24,12,2,3,2,0,0,46,941.94,16.24149697
Sisquoc - Lower Bear_2017,5/15/17,2017,BT,34.717328,-119.647184,W,B,P,0.6,0.080304,90.73,407,9.2,2.38,39.6875,3,27,1,7,4,1,0,0,43,678.36,15.43347381
South Fork Sisquoc_2017,5/15/17,2017,BT,34.750922,-119.778498,W,B,P,1.2,0.154496,89.84,400,8.39,7.43,30,43,31,32,20,5,4,2,0,137,1213.45,16.20799286
Upper North Fork Matilija_2017,8/15/17,2017,UCSB,34.5102,-119.383,W,U,P,0.65,0.03042,85.65,867,8.65,3.38,14,2,0,2,0,0,0,0,0,4,1029.61,20.7799977
